Time_period,Country,Region,Total area of the country (1000 ha),% of total country area cultivated (%),Total population (1000 inhab),Rural population (1000 inhab),Urban population (1000 inhab),Population density (inhab/km2),GDP per capita (current US$/inhab),Long-term average annual precipitation in volume (10^9 m3/year),Surface water produced internally (10^9 m3/year),Groundwater produced internally (10^9 m3/year),Overlap between surface water and groundwater (10^9 m3/year),Total internal renewable water resources (IRWR) (10^9 m3/year),Surface water: entering the country (total) (10^9 m3/year),Surface water: leaving the country to other countries (total) (10^9 m3/year),Surface water: total external renewable (10^9 m3/year),Groundwater: entering the country (total) (10^9 m3/year),Groundwater: leaving the country to other countries (total) (10^9 m3/year),Water resources: total external renewable (10^9 m3/year),Total renewable surface water (10^9 m3/year),Total renewable groundwater (10^9 m3/year),Total renewable water resources (10^9 m3/year),Dependency ratio (%),Total exploitable water resources (10^9 m3/year),Interannual variability (WRI) (-),Seasonal variability (WRI) (-),Total dam capacity (km3),Irrigation potential (1000 ha),Area equipped for irrigation: total (1000 ha),Area equipped for irrigation: actually irrigated (1000 ha),% of the cultivated area equipped for irrigation (%),% of irrigation potential equipped for irrigation (%),Flood recession cropping area non-equipped (1000 ha),Cultivated wetlands and inland valley bottoms non-equipped (1000 ha),% of agricultural water managed area equipped for irrigation (%),% of area equipped for irrigation by surface water (%),% of area equipped for irrigation by groundwater  (%),Total harvested irrigated crop area (full control irrigation) (1000 ha),Irrigated cropping intensity (%),% of total grain production irrigated (%),Area salinized by irrigation (1000 ha),Area waterlogged by irrigation (1000 ha),Flood occurrence (WRI) (-),Rural population with access to safe drinking-water (JMP) (%),Urban population with access to safe drinking-water (JMP) (%),Population affected by water related disease (1000 inhab)
1958-1962,Bahrain,Asia | Middle East | Arabian Peninsula,69,4.348,173.1,30.5,142.6,250.9,,0.0573,0.004,0,0,0.004,0,0,0,0.112,0,0.112,0.004,0.112,0.116,96.55,,,,,4.23,,,,,,,,,,,,,,,,,,
1958-1962,Kuwait,Asia | Middle East | Arabian Peninsula,1782,0.0561,335.2,78.2,257,18.81,5454,2.156,0,0,0,0,0,0,0,0.02,0,0.02,0,0.02,0.02,100,,,,,25,,,,,,,,,,,,,,,,,,
1958-1962,Oman,Asia | Middle East | Arabian Peninsula,30950,0.1131,578.8,471.1,107.7,1.87,97.22,38.69,1.05,1.3,0.95,1.4,0,,0,0,,0,1.05,1.3,1.4,0,,,,,,,,,,,,,,,,,,,,,,,
1958-1962,Qatar,Asia | Middle East | Arabian Peninsula,1161,0.0861,56.19,7.8,48.39,4.84,,0.8591,0,0.056,0,0.056,0,0,0,0.002,0,0.002,0,0.058,0.058,3.448,,,,,,,,,,,,,,,,,,,,,,,
1958-1962,Saudi Arabia,Asia | Middle East | Arabian Peninsula,214969,0.5536,4363,2906,1457,2.03,401.1,126.8,2.2,2.2,2,2.4,0,,0,0,0.394,0,2.2,2.2,2.4,0,,,,,,,,,,,,,,,,,,,,,,,
1958-1962,United Arab Emirates,Asia | Middle East | Arabian Peninsula,8360,0.0957,112.2,30.35,81.85,1.342,,6.521,0.15,0.12,0.12,0.15,0,0,0,0,0,0,0.15,0.12,0.15,0,,,,,,,,,,,,,,,,,,,,,,,
1958-1962,Yemen,Asia | Middle East | Arabian Peninsula,52797,2.553,5339,4820,518.7,10.11,,88.17,2,1.5,1.4,2.1,0,,0,0,0,0,2,1.5,2.1,0,,,,0.0052,,,,,,,,,,,,,,,,,,,
1958-1962,Armenia,Asia | Middle East | Caucasus,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1958-1962,Azerbaijan,Asia | Middle East | Caucasus,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1958-1962,Georgia,Asia | Middle East | Caucasus,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1958-1962,Iran (Islamic Republic of),Asia | Middle East | Iran (Islamic Republic of),174515,8.761,23071,14964,8107,13.22,203.4,397.9,97.3,49.3,18.1,128.5,7.77,18.67,8.545,0,0,8.545,105.8,49.3,137,6.773,,,,4.448,15000,,,,,,,,,,,,,,,,,,
1958-1962,Iraq,Asia | Middle East | Near East,43832,10.85,7674,4146,3528,17.51,254.7,94.68,34,3.2,2,35.2,61.33,,54.58,0.08,,54.66,88.58,3.28,89.86,60.83,,,,88.3,5554,,,,,,,,,,,,,,,,,,
1958-1962,Israel,Asia | Middle East | Near East,2207,17.72,2264,481,1783,102.6,1147,9.6,0.25,0.5,0,0.75,0.305,0.015,0.305,0.725,0.025,1.03,0.555,1.225,1.78,57.87,1.636,,,,,,,,,,,,,,,,,,,,,,
1958-1962,Jordan,Asia | Middle East | Near East,8878,3.334,962.8,450.4,512.4,10.84,,9.855,0.485,0.45,0.253,0.682,0.4,,0.165,0.27,,0.255,0.65,0.54,0.937,27.21,,,,,85,,,,,,,,,,,,,,,,,,
1958-1962,Lebanon,Asia | Middle East | Near East,1045,25.84,1925,1044,880.8,184.2,,6.907,4.1,3.2,2.5,4.8,0,0.575,-0.297,0,0.28,-0.297,3.803,3.2,4.503,0.7854,2.08,,,,177.5,,,,,,,,,,,,,,,,,,
1958-1962,Occupied Palestinian Territory,Asia | Middle East | Near East,602,33.55,1129,613.9,515.1,187.5,,2.42,0.072,0.74,0,0.812,0.015,0.017,0.015,0.01,,0.025,0.087,0.75,0.837,2.987,0.715,,,,,,,,,,,,,,,,,,,,,,
1958-1962,Syrian Arab Republic,Asia | Middle East | Near East,18518,34.78,4897,3034,1863,26.44,226.8,46.67,4.288,4.844,2,7.132,28.52,31.73,8.34,11.13,0.34,9.67,12.63,6.174,16.8,72.36,20.6,,,0.295,,,,,,,,,,,,,,,,,,,
1958-1962,Turkey,Asia | Middle East | Near East,78535,32.28,28910,19486,9424,36.81,308.6,465.7,186,69,28,227,1.8,60.12,-14.2,0,11,-15.4,171.8,67.8,211.6,1.518,112,,,11.16,8500,,,,,,,,,,,,,,,,,,
1958-1962,Afghanistan,Asia | Central Asia,65286,11.89,9344,8539,804.9,14.31,58.5,213.5,37.5,10.65,1,47.15,10,42.22,18.18,0,,18.18,55.68,10.65,65.33,28.72,,,,1.2,,,,,,,,,,,,,,,,,,,
1958-1962,Kazakhstan,Asia | Central Asia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1958-1962,Kyrgyzstan,Asia | Central Asia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
